Date+A1,Open,High,Low,Close,Volume,3M_before,Close_3M_before,3M_UP/DOWN,6M_before,Close_6M_before,6M_UP/DOWN,9M_before,Close_9M_before,9M_UP/DOWN,12_before,Close_12_before,12M_UP/DOWN
07/04/04,645.86,646.2,643.14,646.02,166801886,07/01/04,601.92,0,06/10/04,544.05,0,06/07/04,515.29,0,06/04/04,542.09,0
07/04/05,645.95,648.11,645.42,648.06,134435226,07/01/05,595.4,0,06/10/05,546.75,0,06/07/05,506.05,0,06/04/05,543.6,0
07/04/10,648.45,654.72,647.76,654.35,182172399,07/01/10,593.39,0,06/10/10,550.45,0,06/07/10,512.22,0,06/04/10,541.41,0
07/04/11,654.36,657.12,651.96,653.01,169662384,07/01/11,603.71,0,06/10/11,550.73,0,06/07/11,504.9,0,06/04/11,533.83,0
07/04/12,652.32,652.67,646.75,651.56,173177264,07/01/12,605.29,0,06/10/12,554.15,0,06/07/12,506.74,0,06/04/12,532.57,0
07/04/13,652.94,657.4,652.79,657.4,158027184,07/01/13,,,06/10/13,554.97,0,06/07/13,496.92,0,06/04/13,534.36,0
07/04/16,659.25,667.95,659.13,667.95,189204298,07/01/16,606.94,0,06/10/16,556.01,0,06/07/16,,,06/04/16,,
07/04/17,666.31,669.88,664,668.81,182496973,07/01/17,605.81,0,06/10/17,549.51,0,06/07/17,485.83,0,06/04/17,,
07/04/18,667.53,667.53,660.01,663.06,190644281,07/01/18,605.31,0,06/10/18,555.36,0,06/07/18,484.13,0,06/04/18,533.33,0
07/04/19,656.48,659.77,652.15,659.4,181285615,07/01/19,610.27,0,06/10/19,555.39,0,06/07/19,496.55,0,06/04/19,541.32,0
07/04/20,660.94,669.7,660.72,668.02,310975169,07/01/20,,,06/10/20,557.82,0,06/07/20,497.56,0,06/04/20,547.12,0
07/04/23,669.12,669.49,665.44,667.98,145312051,07/01/23,605.33,0,06/10/23,561.13,0,06/07/23,,,06/04/23,,
07/04/24,667.63,668.2,657.83,661.9,199302849,07/01/24,611.6,0,06/10/24,561.71,0,06/07/24,499.71,0,06/04/24,548.7,0
07/04/25,663.74,669.74,663.74,668.55,187772712,07/01/25,609.12,0,06/10/25,563.39,0,06/07/25,499.48,0,06/04/25,549.02,0
07/04/26,670.87,674.43,670.3,672.44,241544533,07/01/26,606.34,0,06/10/26,564.69,0,06/07/26,500.85,0,06/04/26,551.28,0
07/04/27,672.02,673.03,668.38,671.58,209446366,07/01/27,,,06/10/27,562.61,0,06/07/27,507.65,0,06/04/27,547.71,0
07/04/30,670.57,675.97,670.57,674.14,143426128,07/01/30,614.75,0,06/10/30,561.54,0,06/07/30,,,06/04/30,,
07/05/02,675.84,678.58,675.29,678.24,221698981,07/02/02,623.65,0,06/11/02,559.33,0,06/08/02,510.84,0,06/05/02,546.96,0
07/05/03,679.73,680.17,674,678.62,263543535,07/02/03,,,06/11/03,560.88,0,06/08/03,507.3,0,06/05/03,540.93,0
07/05/04,678.36,684.61,678.36,683.99,221533070,07/02/04,,,06/11/04,,,06/08/04,514.32,0,06/05/04,546.5,0
07/05/07,684.91,685.91,683.41,684.98,121592604,07/02/07,626.96,0,06/11/07,571.32,0,06/08/07,506.23,0,06/05/07,,
07/05/08,683.78,683.78,674.34,676.69,196794527,07/02/08,623.57,0,06/11/08,570.21,0,06/08/08,508.35,0,06/05/08,555.37,0
07/05/09,679.55,680.75,675.51,679.36,179652665,07/02/09,626.95,0,06/11/09,570.8,0,06/08/09,512,0,06/05/09,556.74,0
07/05/10,680.43,681.09,673.69,674.68,190292332,07/02/10,,,06/11/10,570.83,0,06/08/10,506.04,0,06/05/10,554.9,0
07/05/11,669.52,679.8,664.98,679.77,245879080,07/02/11,,,06/11/11,,,06/08/11,506.22,0,06/05/11,549.71,0
07/05/14,681.98,684.11,678,678.68,175700833,07/02/14,632.71,0,06/11/14,573.48,0,06/08/14,511.51,0,06/05/14,,
07/05/15,676.77,683.52,675.53,682.36,218402338,07/02/15,632.48,0,06/11/15,577.03,0,06/08/15,518.39,0,06/05/15,529.96,0
07/05/16,680.47,684,678.74,680.92,184922624,07/02/16,631.91,0,06/11/16,578.41,0,06/08/16,522.11,0,06/05/16,529,0
07/05/17,683.82,684.7,681.71,682.86,99724095,07/02/17,,,06/11/17,575.27,0,06/08/17,524.21,0,06/05/17,512.08,0
07/05/18,682.32,691.71,682.32,691.36,287442102,07/02/18,,,06/11/18,,,06/08/18,523.17,0,06/05/18,510.94,0
07/05/21,692.58,694.09,690.61,692.04,179928860,07/02/21,631.8,0,06/11/21,578.98,0,06/08/21,520.94,0,06/05/21,,
07/05/22,692.63,696.54,691.32,695.36,176799516,07/02/22,634.49,0,06/11/22,580.76,0,06/08/22,522.67,0,06/05/22,497.71,0
07/05/23,695.64,701.96,695.64,701.85,209145128,07/02/23,636.36,0,06/11/23,580.58,0,06/08/23,519.17,0,06/05/23,509.95,0
07/05/24,698.92,704.05,695.86,697.92,214867490,07/02/24,,,06/11/24,575.21,0,06/08/24,521.86,0,06/05/24,502.23,0
07/05/25,695.52,701.13,694.41,700.68,186954217,07/02/25,,,06/11/25,,,06/08/25,521.75,0,06/05/25,512.17,0
07/05/29,702.74,704.8,701.1,704.7,152937768,07/02/28,609.66,0,06/11/29,571.67,0,06/08/29,524.54,0,06/05/29,518.62,0
07/05/30,699.86,702.86,696.01,702.73,178908444,07/02/28,609.66,0,06/11/30,567.14,0,06/08/30,526.6,0,06/05/30,506.83,0
07/05/31,705.51,714.38,705.42,713.41,247320576,07/02/28,609.66,0,06/11/30,567.14,0,06/08/31,526.07,0,06/05/31,512.65,0
07/06/01,714.56,723.12,714.56,722.2,236516944,07/03/01,602.76,0,06/12/01,562.13,0,06/09/01,527.94,0,06/06/01,514.09,0
07/06/04,720.6,724.09,717.82,721.02,200076425,07/03/04,,,06/12/04,566.49,0,06/09/04,530.95,0,06/06/04,,
07/06/05,722.22,723.06,713.83,716.88,216083524,07/03/05,592.76,0,06/12/05,572.59,0,06/09/05,528.74,0,06/06/05,,
07/06/06,716.15,716.86,698.93,699.48,252586689,07/03/06,598.89,0,06/12/06,572.85,0,06/09/06,523.05,0,06/06/06,496.39,0
07/06/07,702.37,703.99,687.18,689.43,241783808,07/03/07,601.95,0,06/12/07,576.67,0,06/09/07,519.16,0,06/06/07,499.04,0
07/06/08,685.36,691.45,679.43,687.27,280710258,07/03/08,611.38,0,06/12/08,577.81,0,06/09/08,521.05,0,06/06/08,484.03,0
07/06/11,691.82,697.95,691.48,697.95,187165753,07/03/11,,,06/12/11,581.89,0,06/09/11,520.76,0,06/06/11,,
07/06/12,695.92,700.03,691.34,694.92,190665193,07/03/12,611.84,0,06/12/12,582.49,0,06/09/12,527.19,0,06/06/12,485.02,0
07/06/13,692.56,696.46,687.57,695.05,199095228,07/03/13,604.19,0,06/12/13,586.8,0,06/09/13,530.38,0,06/06/13,474.64,0
07/06/14,701.26,709.46,701.26,709.41,234814464,07/03/14,588.14,0,06/12/14,589.73,0,06/09/14,530.72,0,06/06/14,475.5,0
07/06/15,710.46,724.75,710.46,724.41,426024596,07/03/15,600.61,0,06/12/15,593.17,0,06/09/15,533.02,0,06/06/15,487.3,0
07/06/18,725.84,729.89,723.05,724.88,215613918,07/03/18,,,06/12/18,594.13,0,06/09/18,532.38,0,06/06/18,,
07/06/19,725.97,727.88,722.76,724.53,187063683,07/03/19,609.3,0,06/12/19,589.7,0,06/09/19,528.09,0,06/06/19,489.04,0
07/06/20,727.95,732.57,725.94,729.2,211915344,07/03/20,612.49,0,06/12/20,593.01,0,06/09/20,534.79,0,06/06/20,493.61,0
07/06/21,724.95,726.26,713.02,718.06,234628961,07/03/21,613.93,0,06/12/21,592.13,0,06/09/21,535.15,0,06/06/21,494.4,0
07/06/22,720.39,722.24,715.33,717.17,167513554,07/03/22,626.33,0,06/12/22,586.52,0,06/09/22,528.62,0,06/06/22,497.25,0
07/06/25,711.98,715.85,706.95,715.18,191139521,07/03/25,,,06/12/25,,,06/09/25,530.45,0,06/06/25,,
07/06/26,710.18,711.93,705.66,709,195632697,07/03/26,623.93,0,06/12/26,,,06/09/26,535.76,0,06/06/26,495.93,0
07/06/27,705.69,705.71,699.81,703.68,218911972,07/03/27,626.87,0,06/12/27,595.45,0,06/09/27,538.39,0,06/06/27,491.18,0
07/06/28,709.62,714.91,709.39,714.9,162771012,07/03/28,622.59,0,06/12/28,595.87,0,06/09/28,538.8,0,06/06/28,490.39,0
07/06/29,717.88,722.14,713.46,722.14,180590945,07/03/29,630.28,0,06/12/29,595.11,0,06/09/29,540.58,0,06/06/29,501.23,0
07/07/02,718.1,721.03,715.25,719.57,146095138,07/04/02,634.24,0,07/01/02,602.61,0,06/10/02,540.27,0,06/07/02,,
07/07/03,722.66,729.03,722.66,728,192270882,07/04/03,643.57,0,07/01/03,603.79,0,06/10/03,,,06/07/03,513.65,0
07/07/04,729.03,731.35,728.76,730.69,116237084,07/04/04,646.02,0,07/01/04,601.92,0,06/10/04,544.05,0,06/07/04,515.29,0
07/07/05,733.57,733.57,722.82,723.87,177345559,07/04/05,648.06,0,07/01/05,595.4,0,06/10/05,546.75,0,06/07/05,506.05,0
07/07/06,723.42,729.23,721.15,729.23,144185754,07/04/06,,,07/01/06,,,06/10/06,547.07,0,06/07/06,511.89,0
07/07/09,732.56,735.55,730.72,732.15,151032434,07/04/09,,,07/01/09,597.65,0,06/10/09,547.3,0,06/07/09,,
07/07/10,733.65,734.72,721.12,722.79,216484887,07/04/10,654.35,0,07/01/10,593.39,0,06/10/10,550.45,0,06/07/10,512.22,0
07/07/11,718.08,718.08,708.75,716.78,216153270,07/04/11,653.01,0,07/01/11,603.71,0,06/10/11,550.73,0,06/07/11,504.9,0
07/07/12,719.71,730.09,715.91,730.09,193319185,07/04/12,651.56,0,07/01/12,605.29,0,06/10/12,554.15,0,06/07/12,506.74,0
07/07/13,734.64,738.69,730.65,732.82,184419305,07/04/13,657.4,0,07/01/13,,,06/10/13,554.97,0,06/07/13,496.92,0
07/07/16,733.78,735.8,731.11,733.53,139182399,07/04/16,667.95,0,07/01/16,606.94,0,06/10/16,556.01,0,06/07/16,,
07/07/17,731.78,731.78,723.94,727.51,172425057,07/04/17,668.81,0,07/01/17,605.81,0,06/10/17,549.51,0,06/07/17,485.83,0
07/07/18,723.55,723.7,714.4,715.26,206304506,07/04/18,663.06,0,07/01/18,605.31,0,06/10/18,555.36,0,06/07/18,484.13,0
07/07/19,718.71,725.09,718.5,723.52,196914699,07/04/19,659.4,0,07/01/19,610.27,0,06/10/19,555.39,0,06/07/19,496.55,0
07/07/20,723.23,725.01,713.22,713.73,228755615,07/04/20,668.02,0,07/01/20,,,06/10/20,557.82,0,06/07/20,497.56,0
07/07/23,714.25,718.88,710.46,718.88,164621107,07/04/23,667.98,0,07/01/23,605.33,0,06/10/23,561.13,0,06/07/23,,
07/07/24,716.13,718.1,707.04,707.04,187047071,07/04/24,661.9,0,07/01/24,611.6,0,06/10/24,561.71,0,06/07/24,499.71,0
07/07/25,701.58,705.24,694.27,696.74,330660227,07/04/25,668.55,0,07/01/25,609.12,0,06/10/25,563.39,0,06/07/25,499.48,0
07/07/26,698.16,699.66,679.59,679.62,332823780,07/04/26,672.44,0,07/01/26,606.34,0,06/10/26,564.69,0,06/07/26,500.85,0
07/07/27,677.05,681.67,667.15,675.38,343737799,07/04/27,671.58,0,07/01/27,,,06/10/27,562.61,0,06/07/27,507.65,0
07/07/30,675.63,680.26,670.97,675.95,235649411,07/04/30,674.14,0,07/01/30,614.75,0,06/10/30,561.54,0,06/07/30,,
07/07/31,680.24,691.32,679.57,688.3,262937350,07/04/30,674.14,0,07/01/31,614.9,0,06/10/31,562.87,0,06/07/31,509.95,0
07/08/01,687.18,687.18,672.05,678.33,262288088,07/05/01,,,07/02/01,620.69,0,06/11/01,564.78,0,06/08/01,503.7,0
07/08/02,682.11,686.09,680.56,682.99,220549188,07/05/02,678.24,0,07/02/02,623.65,0,06/11/02,559.33,0,06/08/02,510.84,0
07/08/03,684.13,685.6,673.73,674.8,205844617,07/05/03,678.62,1,07/02/03,,,06/11/03,560.88,0,06/08/03,507.3,0
07/08/06,671.98,676.57,670.24,674.03,219680540,07/05/06,,,07/02/06,623.51,0,06/11/06,568.53,0,06/08/06,,
07/08/07,677.08,681.93,675.07,679.11,217874022,07/05/07,684.98,1,07/02/07,626.96,0,06/11/07,571.32,0,06/08/07,506.23,0
07/08/08,682.04,688.12,681.35,687.66,272068494,07/05/08,676.69,0,07/02/08,623.57,0,06/11/08,570.21,0,06/08/08,508.35,0
07/08/09,684.77,684.77,671.32,674.09,333518052,07/05/09,679.36,1,07/02/09,626.95,0,06/11/09,570.8,0,06/08/09,512,0
07/08/10,672.55,672.55,658.21,662.62,392437806,07/05/10,674.68,1,07/02/10,,,06/11/10,570.83,0,06/08/10,506.04,0
07/08/13,666.37,674.39,666.37,674.26,222634849,07/05/13,,,07/02/13,626.36,0,06/11/13,574.1,0,06/08/13,,
07/08/14,670.45,675.6,666.81,670.08,184860103,07/05/14,678.68,1,07/02/14,632.71,0,06/11/14,573.48,0,06/08/14,511.51,0
07/08/15,666.05,672.14,662.45,669.97,223073098,07/05/15,682.36,1,07/02/15,632.48,0,06/11/15,577.03,0,06/08/15,518.39,0
07/08/16,669.17,669.2,650.39,651.49,385235809,07/05/16,680.92,1,07/02/16,631.91,0,06/11/16,578.41,0,06/08/16,522.11,0
07/08/17,648.86,668.62,644.12,659.55,477185547,07/05/17,682.86,1,07/02/17,,,06/11/17,575.27,0,06/08/17,524.21,0
07/08/20,662.08,667.6,662.08,663.16,173028432,07/05/20,,,07/02/20,635.2,0,06/11/20,577.97,0,06/08/20,,
07/08/21,665.22,668.72,658.5,665.22,182513380,07/05/21,692.04,1,07/02/21,631.8,0,06/11/21,578.98,0,06/08/21,520.94,0
07/08/22,665.49,675.74,665.49,674.3,189755813,07/05/22,695.36,1,07/02/22,634.49,0,06/11/22,580.76,0,06/08/22,522.67,0
07/08/23,679.9,682.73,675.98,675.98,180946500,07/05/23,701.85,1,07/02/23,636.36,0,06/11/23,580.58,0,06/08/23,519.17,0
07/08/24,673.23,676.81,671.26,675.84,125294979,07/05/24,697.92,1,07/02/24,,,06/11/24,575.21,0,06/08/24,521.86,0
07/08/27,678.03,679.8,673.75,674.48,86040815,07/05/27,,,07/02/27,618.34,0,06/11/27,565.27,0,06/08/27,,
07/08/28,673.1,673.54,667.44,668.31,133564484,07/05/28,,,07/02/28,609.66,0,06/11/28,563.38,0,06/08/28,525.04,0
07/08/29,663.64,669.97,661.24,669.29,178908706,07/05/29,704.7,1,07/02/28,609.66,0,06/11/29,571.67,0,06/08/29,524.54,0
07/08/30,672.42,677.68,667.92,677.05,159867802,07/05/30,702.73,1,07/02/28,609.66,0,06/11/30,567.14,0,06/08/30,526.6,0
07/08/31,680.59,688.91,678.89,687.8,190109582,07/05/31,713.41,1,07/02/28,609.66,0,06/11/30,567.14,0,06/08/31,526.07,0
07/09/03,688.69,690.99,687.97,689.5,108071458,07/06/03,,,07/03/03,,,06/12/03,,,06/09/03,,
07/09/04,688.53,696.13,684.9,696.07,156957594,07/06/04,721.02,1,07/03/04,,,06/12/04,566.49,0,06/09/04,530.95,0
07/09/05,693.78,695.83,684.19,684.21,166527295,07/06/05,716.88,1,07/03/05,592.76,0,06/12/05,572.59,0,06/09/05,528.74,0
07/09/06,687.43,689.68,677.91,687.03,163153966,07/06/06,699.48,1,07/03/06,598.89,0,06/12/06,572.85,0,06/09/06,523.05,0
07/09/07,685.55,688.12,669.85,670.84,210366601,07/06/07,689.43,1,07/03/07,601.95,0,06/12/07,576.67,0,06/09/07,519.16,0
07/09/10,671.56,673.21,664.08,664.38,163715334,07/06/10,,,07/03/10,,,06/12/10,,,06/09/10,,
07/09/11,668.14,673.92,668.12,672.35,142171068,07/06/11,697.95,1,07/03/11,,,06/12/11,581.89,0,06/09/11,520.76,0
07/09/12,672.09,674.42,669.79,673.96,149892801,07/06/12,694.92,1,07/03/12,611.84,0,06/12/12,582.49,0,06/09/12,527.19,0
07/09/13,672.24,679.35,670.08,678.67,175190232,07/06/13,695.05,1,07/03/13,604.19,0,06/12/13,586.8,0,06/09/13,530.38,0
07/09/14,676.8,676.86,670.9,675.04,178097539,07/06/14,709.41,1,07/03/14,588.14,0,06/12/14,589.73,0,06/09/14,530.72,0
07/09/17,673.7,676.39,669.19,671.82,151453002,07/06/17,,,07/03/17,,,06/12/17,,,06/09/17,,
07/09/18,669.86,681.02,669.62,680.39,206532790,07/06/18,724.88,1,07/03/18,,,06/12/18,594.13,0,06/09/18,532.38,0
07/09/19,682.95,697.73,682.71,696.38,279635922,07/06/19,724.53,1,07/03/19,609.3,0,06/12/19,589.7,0,06/09/19,528.09,0
07/09/20,693.36,695.11,691.9,694.45,173899082,07/06/20,729.2,1,07/03/20,612.49,0,06/12/20,593.01,0,06/09/20,534.79,0
07/09/21,693.17,702.56,693.08,700.4,438580838,07/06/21,718.06,1,07/03/21,613.93,0,06/12/21,592.13,0,06/09/21,535.15,0
07/09/24,699.19,701.39,698.29,700.64,184839350,07/06/24,,,07/03/24,,,06/12/24,,,06/09/24,,
07/09/25,697.14,698.93,693.53,697.92,185298614,07/06/25,715.18,1,07/03/25,,,06/12/25,,,06/09/25,530.45,0
07/09/26,700.28,702.36,700.07,701.51,163664270,07/06/26,709,1,07/03/26,623.93,0,06/12/26,,,06/09/26,535.76,0
07/09/27,705.48,708.58,704.57,705.94,195916618,07/06/27,703.68,0,07/03/27,626.87,0,06/12/27,595.45,0,06/09/27,538.39,0
07/09/28,705.72,707.33,700.65,706.08,189809163,07/06/28,714.9,1,07/03/28,622.59,0,06/12/28,595.87,0,06/09/28,538.8,0
07/10/01,704.21,711.36,704.21,711.36,171021073,07/07/01,,,07/04/01,,,07/01/01,,,06/10/01,,
07/10/02,713.68,717.03,712.42,714.31,210357612,07/07/02,719.57,1,07/04/02,634.24,0,07/01/02,602.61,0,06/10/02,540.27,0
07/10/04,714.21,716.26,712.16,714.99,146511269,07/07/04,730.69,1,07/04/04,646.02,0,07/01/04,601.92,0,06/10/04,544.05,0
07/10/05,716.17,721.47,715.67,721.13,171261929,07/07/05,723.87,1,07/04/05,648.06,0,07/01/05,595.4,0,06/10/05,546.75,0
07/10/08,722.3,722.3,718.82,719.03,157999798,07/07/08,,,07/04/08,,,07/01/08,596.66,0,06/10/08,,
07/10/09,718.82,722.05,717.12,719.79,171591532,07/07/09,732.15,1,07/04/09,,,07/01/09,597.65,0,06/10/09,547.3,0
07/10/10,720.98,722.3,718.42,720.56,167274109,07/07/10,722.79,1,07/04/10,654.35,0,07/01/10,593.39,0,06/10/10,550.45,0
07/10/11,721.18,728.04,720.43,725.62,214926996,07/07/11,716.78,0,07/04/11,653.01,0,07/01/11,603.71,0,06/10/11,550.73,0
07/10/12,722.2,726.17,720.35,726.17,175309824,07/07/12,730.09,1,07/04/12,651.56,0,07/01/12,605.29,0,06/10/12,554.15,0
07/10/15,725.76,726.7,719.29,720.22,156890852,07/07/15,,,07/04/15,,,07/01/15,608.14,0,06/10/15,,
07/10/16,717.69,718.26,715.4,717.84,201050999,07/07/16,733.53,1,07/04/16,667.95,0,07/01/16,606.94,0,06/10/16,556.01,0
07/10/17,716.46,723.07,715.96,720.85,175960713,07/07/17,727.51,1,07/04/17,668.81,0,07/01/17,605.81,0,06/10/17,549.51,0
07/10/18,721.87,723.42,713.92,714.66,194089984,07/07/18,715.26,1,07/04/18,663.06,0,07/01/18,605.31,0,06/10/18,555.36,0
07/10/19,711.81,716.69,710.86,711.12,215782810,07/07/19,723.52,1,07/04/19,659.4,0,07/01/19,610.27,0,06/10/19,555.39,0
07/10/22,706.8,706.94,700.09,702.51,199983468,07/07/22,,,07/04/22,,,07/01/22,606.09,0,06/10/22,,
07/10/23,705.62,711.28,705.56,708.48,197401828,07/07/23,718.88,1,07/04/23,667.98,0,07/01/23,605.33,0,06/10/23,561.13,0
07/10/24,708.02,710.75,705.32,707.03,192076208,07/07/24,707.04,1,07/04/24,661.9,0,07/01/24,611.6,0,06/10/24,561.71,0
07/10/25,710.53,719.35,710.53,716.4,252530779,07/07/25,696.74,0,07/04/25,668.55,0,07/01/25,609.12,0,06/10/25,563.39,0
07/10/26,718.06,719.38,715.03,718.12,205952273,07/07/26,679.62,0,07/04/26,672.44,0,07/01/26,606.34,0,06/10/26,564.69,0
07/10/29,722.39,724.05,722.23,723.67,171812159,07/07/29,,,07/04/29,,,07/01/29,609.73,0,06/10/29,,
07/10/30,722.84,723.29,719.6,720.36,171649968,07/07/30,675.95,0,07/04/30,674.14,0,07/01/30,614.75,0,06/10/30,561.54,0
07/10/31,719.45,725.59,719.34,725.43,207856890,07/07/31,688.3,0,07/04/30,674.14,0,07/01/31,614.9,0,06/10/31,562.87,0
07/11/01,726.27,727.22,711.73,713.79,208104789,07/08/01,678.33,0,07/05/01,,,07/02/01,620.69,0,06/11/01,564.78,0
07/11/02,710.35,711.9,706.36,710.72,195138173,07/08/02,682.99,0,07/05/02,678.24,0,07/02/02,623.65,0,06/11/02,559.33,0
07/11/05,705.73,708.46,705.06,706.3,161834667,07/08/05,,,07/05/05,,,07/02/05,623.15,0,06/11/05,,
07/11/06,708.57,712.01,708.02,709.07,167885926,07/08/06,674.03,0,07/05/06,,,07/02/06,623.51,0,06/11/06,568.53,0
07/11/07,709.94,712.28,702.38,706.16,206477585,07/08/07,679.11,0,07/05/07,684.98,0,07/02/07,626.96,0,06/11/07,571.32,0
07/11/08,703.5,708.4,698.07,706.72,310143181,07/08/08,687.66,0,07/05/08,676.69,0,07/02/08,623.57,0,06/11/08,570.21,0
07/11/09,709.45,715,703,704.25,288540626,07/08/09,674.09,0,07/05/09,679.36,0,07/02/09,626.95,0,06/11/09,570.8,0
07/11/12,701.29,704.14,699.97,702.03,197121798,07/08/12,,,07/05/12,,,07/02/12,622.75,0,06/11/12,,
07/11/13,699.16,699.45,695.33,697.78,231772297,07/08/13,674.26,0,07/05/13,,,07/02/13,626.36,0,06/11/13,574.1,0
07/11/14,701.2,705.97,698.59,699.73,238789518,07/08/14,670.08,0,07/05/14,678.68,0,07/02/14,632.71,0,06/11/14,573.48,0
07/11/15,700.48,701.64,686.03,688.74,210288526,07/08/15,669.97,0,07/05/15,682.36,0,07/02/15,632.48,0,06/11/15,577.03,0
07/11/16,684.62,686.41,679.22,682.49,273689577,07/08/16,651.49,0,07/05/16,680.92,0,07/02/16,631.91,0,06/11/16,578.41,0
07/11/19,681.57,683.77,668.94,670.01,231993435,07/08/19,,,07/05/19,,,07/02/19,635.07,0,06/11/19,,
07/11/20,674.29,680.28,668.8,680.06,255923541,07/08/20,663.16,0,07/05/20,,,07/02/20,635.2,0,06/11/20,577.97,0
07/11/21,674.27,674.86,664.8,667.48,255569556,07/08/21,665.22,0,07/05/21,692.04,1,07/02/21,631.8,0,06/11/21,578.98,0
07/11/22,669.1,671.74,664.35,670.63,173212274,07/08/22,674.3,1,07/05/22,695.36,1,07/02/22,634.49,0,06/11/22,580.76,0
07/11/23,670.38,676.64,669.79,676.13,166259428,07/08/23,675.98,0,07/05/23,701.85,1,07/02/23,636.36,0,06/11/23,580.58,0
07/11/26,678.82,683.19,673.03,673.61,167607740,07/08/26,,,07/05/26,,,07/02/26,639.27,0,06/11/26,,
07/11/27,669.85,671.74,662.77,671.19,193886868,07/08/27,674.48,1,07/05/27,,,07/02/27,618.34,0,06/11/27,565.27,0
07/11/28,673.47,689.48,671.86,689.31,239601345,07/08/28,668.31,0,07/05/28,,,07/02/28,609.66,0,06/11/28,563.38,0
07/11/29,691.88,695.26,689.89,693.37,197152245,07/08/29,669.29,0,07/05/29,704.7,1,07/02/28,609.66,0,06/11/29,571.67,0
07/11/30,695.1,705.17,694.87,703.13,225773318,07/08/30,677.05,0,07/05/30,702.73,0,07/02/28,609.66,0,06/11/30,567.14,0
07/12/03,702.42,705.24,698.91,699.82,159883958,07/09/03,689.5,0,07/06/03,,,07/03/03,,,06/12/03,,
07/12/04,700.2,700.56,693.96,695.99,200169973,07/09/04,696.07,1,07/06/04,721.02,1,07/03/04,,,06/12/04,566.49,0
07/12/05,699.32,708.43,699.32,708.27,162178389,07/09/05,684.21,0,07/06/05,716.88,1,07/03/05,592.76,0,06/12/05,572.59,0
07/12/06,710.03,712.66,704.6,707.63,174387871,07/09/06,687.03,0,07/06/06,699.48,0,07/03/06,598.89,0,06/12/06,572.85,0
07/12/07,709.19,713.67,709.19,713.05,190956794,07/09/07,670.84,0,07/06/07,689.43,0,07/03/07,601.95,0,06/12/07,576.67,0
07/12/10,710.51,718.24,710.31,716.56,161049338,07/09/10,664.38,0,07/06/10,,,07/03/10,,,06/12/10,,
07/12/11,718.39,719.74,712.77,714.73,176187187,07/09/11,672.35,0,07/06/11,697.95,0,07/03/11,,,06/12/11,581.89,0
07/12/12,711.65,722.88,707.5,719.57,226575997,07/09/12,673.96,0,07/06/12,694.92,0,07/03/12,611.84,0,06/12/12,582.49,0
07/12/13,713.53,716.05,705.28,705.62,201710865,07/09/13,678.67,0,07/06/13,695.05,0,07/03/13,604.19,0,06/12/13,586.8,0
07/12/14,710.05,710.59,701.55,707.5,156259965,07/09/14,675.04,0,07/06/14,709.41,1,07/03/14,588.14,0,06/12/14,589.73,0
07/12/17,701.13,701.45,694.84,695.4,170573642,07/09/17,671.82,0,07/06/17,,,07/03/17,,,06/12/17,,
07/12/18,693.53,705.26,693.53,697.91,169220847,07/09/18,680.39,0,07/06/18,724.88,1,07/03/18,,,06/12/18,594.13,0
07/12/19,699.13,699.67,692.69,696.28,155331686,07/09/19,696.38,1,07/06/19,724.53,1,07/03/19,609.3,0,06/12/19,589.7,0
07/12/20,697.45,703.1,696.94,699.16,140746866,07/09/20,694.45,0,07/06/20,729.2,1,07/03/20,612.49,0,06/12/20,593.01,0
07/12/21,703.64,711,703.17,710.9,356958367,07/09/21,700.4,0,07/06/21,718.06,1,07/03/21,613.93,0,06/12/21,592.13,0
07/12/27,714.8,716.86,712.57,713.75,108088866,07/09/27,705.94,0,07/06/27,703.68,0,07/03/27,626.87,0,06/12/27,595.45,0
07/12/28,710.46,716.65,710.36,716.65,57604705,07/09/28,706.08,0,07/06/28,714.9,0,07/03/28,622.59,0,06/12/28,595.87,0
08/01/02,714.53,719.67,705.39,706.95,133126235,07/10/02,714.31,1,07/07/02,719.57,1,07/04/02,634.24,0,07/01/02,602.61,0
08/01/03,707.14,708.72,697.88,702.2,172986061,07/10/03,,,07/07/03,728,1,07/04/03,643.57,0,07/01/03,603.79,0
08/01/04,702.13,703.03,690.34,692.06,243228240,07/10/04,714.99,1,07/07/04,730.69,1,07/04/04,646.02,0,07/01/04,601.92,0
08/01/07,691.22,694.5,687.55,690.04,243702943,07/10/07,,,07/07/07,,,07/04/07,,,07/01/07,,
08/01/08,692.47,699.31,692.13,693.71,233331940,07/10/08,719.03,1,07/07/08,,,07/04/08,,,07/01/08,596.66,0
08/01/09,692.28,692.82,684.24,685.17,270766353,07/10/09,719.79,1,07/07/09,732.15,1,07/04/09,,,07/01/09,597.65,0
08/01/10,687.31,689.79,677.11,677.8,242708730,07/10/10,720.56,1,07/07/10,722.79,1,07/04/10,654.35,0,07/01/10,593.39,0
08/01/11,679.14,680.04,674.44,678.01,223254187,07/10/11,725.62,1,07/07/11,716.78,1,07/04/11,653.01,0,07/01/11,603.71,0
08/01/14,675.84,682.46,675.84,680.52,181691255,07/10/14,,,07/07/14,,,07/04/14,,,07/01/14,,
08/01/15,679.45,680.48,664.83,665.39,266178492,07/10/15,720.22,1,07/07/15,,,07/04/15,,,07/01/15,608.14,0
