Date,Open,High,Low,Close,Volume,Election_date,3M_before,Close_3M_before,3M_UP_DOWN,6M_before,Close_6M_before,6M_UP_DOWN,9M_before,Close_9M_before,9M_UP_DOWN,12_before,Close_12_before,12M_UP_DOWN,15_before,Close_15_before
70/03/17,,,,,,,69/12/17,,,69/09/17,,,69/06/17,,,69/03/17,,,68/12/17,
70/03/18,,,,,,,69/12/18,,,69/09/18,,,69/06/18,,,69/03/18,,,68/12/18,
70/03/19,,,,,,,69/12/19,,,69/09/19,,,69/06/19,,,69/03/19,,,68/12/19,
70/03/20,,,,,,,69/12/20,,,69/09/20,,,69/06/20,,,69/03/20,,,68/12/20,
70/03/23,,,,,,,69/12/23,,,69/09/23,,,69/06/23,,,69/03/23,,,68/12/23,
70/03/24,,,,,,,69/12/24,,,69/09/24,,,69/06/24,,,69/03/24,,,68/12/24,
70/03/25,,,,,,,69/12/25,,,69/09/25,,,69/06/25,,,69/03/25,,,68/12/25,
70/03/26,,,,,,,69/12/26,,,69/09/26,,,69/06/26,,,69/03/26,,,68/12/26,
70/03/27,,,,,,,69/12/27,,,69/09/27,,,69/06/27,,,69/03/27,,,68/12/27,
70/03/30,,,,,,,69/12/30,,,69/09/30,,,69/06/30,,,69/03/30,,,68/12/30,
70/03/31,41.299999,41.299999,41.299999,41.30 ,0,,69/12/31,,,69/09/30,,,69/06/30,,,69/03/31,,,68/12/31,
70/04/01,,,,,,,70/01/01,,,69/10/01,,,69/07/01,,,69/04/01,,,69/01/01,
70/04/02,,,,,,,70/01/02,,,69/10/02,,,69/07/02,,,69/04/02,,,69/01/02,
70/04/03,,,,,,,70/01/03,,,69/10/03,,,69/07/03,,,69/04/03,,,69/01/03,
70/04/06,,,,,,,70/01/06,,,69/10/06,,,69/07/06,,,69/04/06,,,69/01/06,
70/04/07,,,,,,,70/01/07,,,69/10/07,,,69/07/07,,,69/04/07,,,69/01/07,
70/04/08,,,,,,,70/01/08,,,69/10/08,,,69/07/08,,,69/04/08,,,69/01/08,
70/04/09,,,,,,,70/01/09,,,69/10/09,,,69/07/09,,,69/04/09,,,69/01/09,
70/04/10,,,,,,,70/01/10,,,69/10/10,,,69/07/10,,,69/04/10,,,69/01/10,
70/04/13,,,,,,,70/01/13,,,69/10/13,,,69/07/13,,,69/04/13,,,69/01/13,
70/04/14,,,,,,,70/01/14,,,69/10/14,,,69/07/14,,,69/04/14,,,69/01/14,
70/04/15,,,,,,,70/01/15,,,69/10/15,,,69/07/15,,,69/04/15,,,69/01/15,
70/04/16,,,,,,,70/01/16,,,69/10/16,,,69/07/16,,,69/04/16,,,69/01/16,
70/04/17,,,,,,,70/01/17,,,69/10/17,,,69/07/17,,,69/04/17,,,69/01/17,
70/04/20,,,,,,,70/01/20,,,69/10/20,,,69/07/20,,,69/04/20,,,69/01/20,
70/04/21,,,,,,,70/01/21,,,69/10/21,,,69/07/21,,,69/04/21,,,69/01/21,
70/04/22,,,,,,,70/01/22,,,69/10/22,,,69/07/22,,,69/04/22,,,69/01/22,
70/04/23,,,,,,,70/01/23,,,69/10/23,,,69/07/23,,,69/04/23,,,69/01/23,
70/04/24,,,,,,,70/01/24,,,69/10/24,,,69/07/24,,,69/04/24,,,69/01/24,
70/04/27,,,,,,,70/01/27,,,69/10/27,,,69/07/27,,,69/04/27,,,69/01/27,
70/04/28,,,,,,,70/01/28,,,69/10/28,,,69/07/28,,,69/04/28,,,69/01/28,
70/04/29,,,,,,,70/01/29,,,69/10/29,,,69/07/29,,,69/04/29,,,69/01/29,
70/04/30,39.240002,39.240002,39.240002,39.24 ,0,0,70/01/30,41.91,0,69/10/30,,,69/07/30,,,69/04/30,,,69/01/30,
70/05/01,,,,,,,70/02/01,,,69/11/01,,,69/08/01,,,69/05/01,,,69/02/01,
70/05/04,,,,,,,70/02/04,,,69/11/04,,,69/08/04,,,69/05/04,,,69/02/04,
70/05/05,,,,,,,70/02/05,,,69/11/05,,,69/08/05,,,69/05/05,,,69/02/05,
70/05/06,,,,,,,70/02/06,,,69/11/06,,,69/08/06,,,69/05/06,,,69/02/06,
70/05/07,,,,,,,70/02/07,,,69/11/07,,,69/08/07,,,69/05/07,,,69/02/07,
70/05/08,,,,,,,70/02/08,,,69/11/08,,,69/08/08,,,69/05/08,,,69/02/08,
70/05/11,,,,,,,70/02/11,,,69/11/11,,,69/08/11,,,69/05/11,,,69/02/11,
70/05/12,,,,,,,70/02/12,,,69/11/12,,,69/08/12,,,69/05/12,,,69/02/12,
70/05/13,,,,,,,70/02/13,,,69/11/13,,,69/08/13,,,69/05/13,,,69/02/13,
70/05/14,,,,,,,70/02/14,,,69/11/14,,,69/08/14,,,69/05/14,,,69/02/14,
70/05/15,,,,,,,70/02/15,,,69/11/15,,,69/08/15,,,69/05/15,,,69/02/15,
70/05/18,,,,,,,70/02/18,,,69/11/18,,,69/08/18,,,69/05/18,,,69/02/18,
70/05/19,,,,,,,70/02/19,,,69/11/19,,,69/08/19,,,69/05/19,,,69/02/19,
70/05/20,,,,,,,70/02/20,,,69/11/20,,,69/08/20,,,69/05/20,,,69/02/20,
70/05/21,,,,,,,70/02/21,,,69/11/21,,,69/08/21,,,69/05/21,,,69/02/21,
70/05/22,,,,,,,70/02/22,,,69/11/22,,,69/08/22,,,69/05/22,,,69/02/22,
70/05/25,,,,,,,70/02/25,,,69/11/25,,,69/08/25,,,69/05/25,,,69/02/25,
70/05/26,,,,,,,70/02/26,,,69/11/26,,,69/08/26,,,69/05/26,,,69/02/26,
70/05/27,,,,,,0,70/02/27,41.099998,0,69/11/27,,,69/08/27,,,69/05/27,,,69/02/27,
70/05/28,,,,,,,70/02/28,,,69/11/28,,,69/08/28,,,69/05/28,,,69/02/28,
70/05/29,35.73,35.73,35.73,35.73 ,0,,70/02/28,,,69/11/29,,,69/08/29,,,69/05/29,,,69/02/28,
70/06/01,,,,,,,70/03/01,,,69/12/01,,,69/09/01,,,69/06/01,,,69/03/01,
70/06/02,,,,,,,70/03/02,,,69/12/02,,,69/09/02,,,69/06/02,,,69/03/02,
70/06/03,,,,,,,70/03/03,,,69/12/03,,,69/09/03,,,69/06/03,,,69/03/03,
70/06/04,,,,,,,70/03/04,,,69/12/04,,,69/09/04,,,69/06/04,,,69/03/04,
70/06/05,,,,,,,70/03/05,,,69/12/05,,,69/09/05,,,69/06/05,,,69/03/05,
70/06/08,,,,,,,70/03/08,,,69/12/08,,,69/09/08,,,69/06/08,,,69/03/08,
70/06/09,,,,,,,70/03/09,,,69/12/09,,,69/09/09,,,69/06/09,,,69/03/09,
70/06/10,,,,,,,70/03/10,,,69/12/10,,,69/09/10,,,69/06/10,,,69/03/10,
70/06/11,,,,,,,70/03/11,,,69/12/11,,,69/09/11,,,69/06/11,,,69/03/11,
70/06/12,,,,,,,70/03/12,,,69/12/12,,,69/09/12,,,69/06/12,,,69/03/12,
70/06/15,,,,,,,70/03/15,,,69/12/15,,,69/09/15,,,69/06/15,,,69/03/15,
70/06/16,,,,,,,70/03/16,,,69/12/16,,,69/09/16,,,69/06/16,,,69/03/16,
70/06/17,,,,,,,70/03/17,,,69/12/17,,,69/09/17,,,69/06/17,,,69/03/17,
70/06/18,,,,,,,70/03/18,,,69/12/18,,,69/09/18,,,69/06/18,,,69/03/18,
70/06/19,,,,,,,70/03/19,,,69/12/19,,,69/09/19,,,69/06/19,,,69/03/19,
70/06/22,,,,,,,70/03/22,,,69/12/22,,,69/09/22,,,69/06/22,,,69/03/22,
70/06/23,,,,,,,70/03/23,,,69/12/23,,,69/09/23,,,69/06/23,,,69/03/23,
70/06/24,,,,,,,70/03/24,,,69/12/24,,,69/09/24,,,69/06/24,,,69/03/24,
70/06/25,,,,,,,70/03/25,,,69/12/25,,,69/09/25,,,69/06/25,,,69/03/25,
70/06/26,,,,,,,70/03/26,,,69/12/26,,,69/09/26,,,69/06/26,,,69/03/26,
